606|132028732|202005|12
101129451|1|02|B0100030072||20200616|20200616|2568.03||2568.03|391.73||||391.73||||||||03
101033738|1|02|B0101045615||20200616|20200616|474.3||474.3|0||||0||||||||01
130691347|1|02|B0100002936||20200610|20200610|2300||2300|414||||414||||||||03
131824412|1|09|B0100000062||20200615|20200615|17354.4||17354.4|3123.79||||3123.79||||||||02
131824412|1|09|B0100000064||20200621|20200621|4340.4||4340.4|781.27||||781.27||||||||02
131824412|1|09|B0100000065||20200621|20200621|2950.2||2950.2|531.04||||531.04||||||||02
131824412|1|09|B0100000066||20200622|20200622|10217||10217|1829.06||||1829.06||||||||02
131824412|1|09|B0100000063||20200621|20200621|17920.8||17920.8|3225.74||||3225.74||||||||02
101004851|1|02|B0100108093||20200625|20200625|3827.54||3827.54|657.46||||657.46||||||||03
101171111|1|02|B0100917437||20200627|20200627|28471.87||36479.58|8007.71||||8007.71||||||||01
101815418|1|02|B0100032444||20200610|20200610|72432.13||72432.13|13037.78||||13037.78||||||||02
132028732|1|02|B1300000003||20200630|20200630|8720.4||8720.4|0||||0||||||||03
