606|132028732|202005|12
101004851|1|02|B0100108041||20200518|20200518|3526.69||3526.69|603.01||||603.01||||||||03
101726997|1|02|B0101110871||20200515|20200515|500||500|||||0||||||||01
131921142|1|02|B0100000072||20200515|20200515|750||750|||||0||||||||01
102621381|1|02|B0100100030||20200526|20200526|385||385|||||0||||||||01
130785155|1|02|B0100744079||20200526|20200526|800||800|||||0||||||||01
131824412|1|09|B0100000061||20200528|20200528|22818.2||22818.2|4107.28||||4107.28||||||||02
101010632|1|07|E310017075705||20200520|20200520|175||175|||||0||||||||02
101010632|1|07|E310015408647||20200520|20200520|156.02||156.02|||||0||||||||02
101011246|1|02|B0100212454||20200526|20200526|972.34||972.34|||||0||||||||01
101019921|1|02|B0105316356||20200519|20200519|5995||5995|914.49||||914.49||||||||03
101068744|1|02|B0104743194||20200502|20200502|1923.8||1923.8|||||0||||||||03
132028732|1|02|B1300000002||20200531|20200531|30701.75||30701.75|||||0||||||||02
